Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
05 Ávila;16-64 años;Extranjeros;Mujeres;2020;4.145
05 Ávila;16-64 años;Extranjeros;Mujeres;2019;3.798
05 Ávila;65 y más;Españoles;Hombres;2021;18.938
05 Ávila;65 y más;Españoles;Hombres;2020;18.774
05 Ávila;65 y más;Españoles;Hombres;2019;18.700
05 Ávila;65 y más;Españoles;Mujeres;2021;21.872
05 Ávila;65 y más;Españoles;Mujeres;2020;21.988
05 Ávila;65 y más;Españoles;Mujeres;2019;22.004
05 Ávila;65 y más;Extranjeros;Hombres;2021;170
05 Ávila;65 y más;Extranjeros;Hombres;2020;161
05 Ávila;65 y más;Extranjeros;Hombres;2019;141
05 Ávila;65 y más;Extranjeros;Mujeres;2021;237
05 Ávila;65 y más;Extranjeros;Mujeres;2020;209
05 Ávila;65 y más;Extranjeros;Mujeres;2019;185
06 Badajoz;0-15 años;Españoles;Hombres;2021;49.620
06 Badajoz;0-15 años;Españoles;Hombres;2020;50.481
06 Badajoz;0-15 años;Españoles;Hombres;2019;51.393
06 Badajoz;0-15 años;Españoles;Mujeres;2021;46.957
06 Badajoz;0-15 años;Españoles;Mujeres;2020;47.847
06 Badajoz;0-15 años;Españoles;Mujeres;2019;48.708
06 Badajoz;0-15 años;Extranjeros;Hombres;2021;1.803
06 Badajoz;0-15 años;Extranjeros;Hombres;2020;1.779
06 Badajoz;0-15 años;Extranjeros;Hombres;2019;1.655
06 Badajoz;0-15 años;Extranjeros;Mujeres;2021;1.666
06 Badajoz;0-15 años;Extranjeros;Mujeres;2020;1.662
06 Badajoz;0-15 años;Extranjeros;Mujeres;2019;1.573
06 Badajoz;16-64 años;Españoles;Hombres;2021;213.216
06 Badajoz;16-64 años;Españoles;Hombres;2020;214.177
06 Badajoz;16-64 años;Españoles;Hombres;2019;215.536
06 Badajoz;16-64 años;Españoles;Mujeres;2021;206.848
06 Badajoz;16-64 años;Españoles;Mujeres;2020;207.509
06 Badajoz;16-64 años;Españoles;Mujeres;2019;208.499
06 Badajoz;16-64 años;Extranjeros;Hombres;2021;7.776
06 Badajoz;16-64 años;Extranjeros;Hombres;2020;7.765
06 Badajoz;16-64 años;Extranjeros;Hombres;2019;7.218
06 Badajoz;16-64 años;Extranjeros;Mujeres;2021;9.086
06 Badajoz;16-64 años;Extranjeros;Mujeres;2020;8.925
06 Badajoz;16-64 años;Extranjeros;Mujeres;2019;8.211
06 Badajoz;65 y más;Españoles;Hombres;2021;58.162
06 Badajoz;65 y más;Españoles;Hombres;2020;57.581
06 Badajoz;65 y más;Españoles;Hombres;2019;56.934
06 Badajoz;65 y más;Españoles;Mujeres;2021;73.857
06 Badajoz;65 y más;Españoles;Mujeres;2020;73.512
06 Badajoz;65 y más;Españoles;Mujeres;2019;73.030
06 Badajoz;65 y más;Extranjeros;Hombres;2021;448
06 Badajoz;65 y más;Extranjeros;Hombres;2020;421
06 Badajoz;65 y más;Extranjeros;Hombres;2019;376
06 Badajoz;65 y más;Extranjeros;Mujeres;2021;504
06 Badajoz;65 y más;Extranjeros;Mujeres;2020;478
06 Badajoz;65 y más;Extranjeros;Mujeres;2019;426
07 Balears, Illes;0-15 años;Españoles;Hombres;2021;77.855
07 Balears, Illes;0-15 años;Españoles;Hombres;2020;79.066
07 Balears, Illes;0-15 años;Españoles;Hombres;2019;79.945
07 Balears, Illes;0-15 años;Españoles;Mujeres;2021;73.591
07 Balears, Illes;0-15 años;Españoles;Mujeres;2020;74.641
07 Balears, Illes;0-15 años;Españoles;Mujeres;2019;75.355
07 Balears, Illes;0-15 años;Extranjeros;Hombres;2021;16.174
07 Balears, Illes;0-15 años;Extranjeros;Hombres;2020;16.175
07 Balears, Illes;0-15 años;Extranjeros;Hombres;2019;15.163
